Unnamed: 0,TFF,CT,TAV,SHOT_COUNT,STATISTICS_ID,MOLD_ID,MOLD_CODE,COUNTER_ID,CDATA_ID,SC,WACT,ACT,TOOLING_TYPE,TOTAL_CAVITIES,max_shots,DATE,HOUR,LIFE_CYCLE,PHASE
0,20200922154405,0.0,251,0,40244,36497,2TAP200004R0026,NCM2029I01008,40242,0,110.0,110,Injection Mold,8,2000000,20200922,2020092215,0.0,1
1,20200922164407,0.0,254,0,40406,36497,2TAP200004R0026,NCM2029I01008,40404,0,110.0,110,Injection Mold,8,2000000,20200922,2020092216,0.0,1
2,20200922174409,0.0,253,0,40569,36497,2TAP200004R0026,NCM2029I01008,40567,0,110.0,110,Injection Mold,8,2000000,20200922,2020092217,0.0,1
3,20200922184412,0.0,253,0,40731,36497,2TAP200004R0026,NCM2029I01008,40729,0,110.0,110,Injection Mold,8,2000000,20200922,2020092218,0.0,1
4,20200922194414,0.0,248,0,40893,36497,2TAP200004R0026,NCM2029I01008,40891,0,110.0,110,Injection Mold,8,2000000,20200922,2020092219,0.0,1
5,20200922204416,0.0,250,0,41078,36497,2TAP200004R0026,NCM2029I01008,41076,0,110.0,110,Injection Mold,8,2000000,20200922,2020092220,0.0,1
6,20200922214418,0.0,244,0,41250,36497,2TAP200004R0026,NCM2029I01008,41248,0,110.0,110,Injection Mold,8,2000000,20200922,2020092221,0.0,1
7,20200922224420,0.0,241,0,41423,36497,2TAP200004R0026,NCM2029I01008,41421,0,110.0,110,Injection Mold,8,2000000,20200922,2020092222,0.0,1
8,20200922234422,0.0,238,0,41654,36497,2TAP200004R0026,NCM2029I01008,41652,0,110.0,110,Injection Mold,8,2000000,20200922,2020092223,0.0,1
9,20200923004424,0.0,239,0,41825,36497,2TAP200004R0026,NCM2029I01008,41823,0,110.0,110,Injection Mold,8,2000000,20200923,2020092300,0.0,1
10,20200923014426,0.0,239,0,41993,36497,2TAP200004R0026,NCM2029I01008,41991,0,110.0,110,Injection Mold,8,2000000,20200923,2020092301,0.0,1
11,20200923024429,0.0,241,0,42165,36497,2TAP200004R0026,NCM2029I01008,42163,0,110.0,110,Injection Mold,8,2000000,20200923,2020092302,0.0,1
12,20200923034431,0.0,240,0,42333,36497,2TAP200004R0026,NCM2029I01008,42331,0,110.0,110,Injection Mold,8,2000000,20200923,2020092303,0.0,1
13,20200923044433,0.0,239,0,42501,36497,2TAP200004R0026,NCM2029I01008,42499,0,110.0,110,Injection Mold,8,2000000,20200923,2020092304,0.0,1
14,20200923054435,0.0,241,0,42669,36497,2TAP200004R0026,NCM2029I01008,42667,0,110.0,110,Injection Mold,8,2000000,20200923,2020092305,0.0,1
15,20200923064437,0.0,240,0,42837,36497,2TAP200004R0026,NCM2029I01008,42835,0,110.0,110,Injection Mold,8,2000000,20200923,2020092306,0.0,1
16,20200923074439,0.0,236,0,43005,36497,2TAP200004R0026,NCM2029I01008,43003,0,110.0,110,Injection Mold,8,2000000,20200923,2020092307,0.0,1
