Unnamed: 0,TFF,CT,TAV,SHOT_COUNT,STATISTICS_ID,MOLD_ID,MOLD_CODE,COUNTER_ID,CDATA_ID,SC,WACT,ACT,TOOLING_TYPE,TOTAL_CAVITIES,max_shots,DATE,HOUR,LIFE_CYCLE,PHASE
0,20221003223713,0.0,288,0,104240,104210,J3009,NCM2207P01018,104239,14736,37.0,37,Progressive,1,200000,20221003,2022100322,0.07368,1
1,20221003233714,0.0,287,0,104244,104210,J3009,NCM2207P01018,104243,14736,37.0,37,Progressive,1,200000,20221003,2022100323,0.07368,1
2,20221004003715,0.0,284,0,104247,104210,J3009,NCM2207P01018,104246,14736,37.0,37,Progressive,1,200000,20221004,2022100400,0.07368,1
3,20221004013716,0.0,284,0,104250,104210,J3009,NCM2207P01018,104249,14736,37.0,37,Progressive,1,200000,20221004,2022100401,0.07368,1
4,20221004023717,0.0,284,0,104253,104210,J3009,NCM2207P01018,104252,14736,37.0,37,Progressive,1,200000,20221004,2022100402,0.07368,1
5,20221004033718,0.0,280,0,104256,104210,J3009,NCM2207P01018,104255,14736,37.0,37,Progressive,1,200000,20221004,2022100403,0.07368,1
6,20221004043719,0.0,279,0,104259,104210,J3009,NCM2207P01018,104258,14736,37.0,37,Progressive,1,200000,20221004,2022100404,0.07368,1
7,20221004053720,0.0,278,0,104262,104210,J3009,NCM2207P01018,104261,14736,37.0,37,Progressive,1,200000,20221004,2022100405,0.07368,1
8,20221004063721,0.0,275,0,104265,104210,J3009,NCM2207P01018,104264,14736,37.0,37,Progressive,1,200000,20221004,2022100406,0.07368,1
9,20221004073722,0.0,277,0,104268,104210,J3009,NCM2207P01018,104267,14736,37.0,37,Progressive,1,200000,20221004,2022100407,0.07368,1
10,20221004083723,0.0,275,0,104271,104210,J3009,NCM2207P01018,104270,14736,37.0,37,Progressive,1,200000,20221004,2022100408,0.07368,1
11,20221004093724,0.0,276,0,104274,104210,J3009,NCM2207P01018,104273,14736,37.0,37,Progressive,1,200000,20221004,2022100409,0.07368,1
12,20221004103725,0.0,275,0,104279,104210,J3009,NCM2207P01018,104278,14736,37.0,37,Progressive,1,200000,20221004,2022100410,0.07368,1
13,20221004113726,0.0,280,0,104282,104210,J3009,NCM2207P01018,104281,14736,37.0,37,Progressive,1,200000,20221004,2022100411,0.07368,1
14,20221004123727,0.0,280,0,104285,104210,J3009,NCM2207P01018,104284,14736,37.0,37,Progressive,1,200000,20221004,2022100412,0.07368,1
15,20221004133728,0.0,279,0,104291,104210,J3009,NCM2207P01018,104290,14736,37.0,37,Progressive,1,200000,20221004,2022100413,0.07368,1
16,20221004143729,0.0,284,0,104294,104210,J3009,NCM2207P01018,104293,14736,37.0,37,Progressive,1,200000,20221004,2022100414,0.07368,1
17,20221004153730,0.0,282,0,104297,104210,J3009,NCM2207P01018,104296,14736,37.0,37,Progressive,1,200000,20221004,2022100415,0.07368,1
18,20221004163708,0.0,281,0,104311,104210,J3009,NCM2207P01018,104310,14736,37.0,37,Progressive,1,200000,20221004,2022100416,0.07368,1
19,20221004173713,0.0,282,0,104329,104210,J3009,NCM2207P01018,104328,14736,37.0,37,Progressive,1,200000,20221004,2022100417,0.07368,1
20,20221004183719,0.0,281,0,104425,104210,J3009,NCM2207P01018,104424,14736,37.0,37,Progressive,1,200000,20221004,2022100418,0.07368,1
21,20221004193723,0.0,279,0,104442,104210,J3009,NCM2207P01018,104441,14736,37.0,37,Progressive,1,200000,20221004,2022100419,0.07368,1
22,20221004203728,0.0,275,0,104552,104210,J3009,NCM2207P01018,104551,14736,37.0,37,Progressive,1,200000,20221004,2022100420,0.07368,1
23,20221004213734,0.0,276,0,104568,104210,J3009,NCM2207P01018,104567,14736,37.0,37,Progressive,1,200000,20221004,2022100421,0.07368,1
24,20221004223740,0.0,276,0,104607,104210,J3009,NCM2207P01018,104606,14736,37.0,37,Progressive,1,200000,20221004,2022100422,0.07368,1
25,20221004233745,0.0,279,0,104673,104210,J3009,NCM2207P01018,104672,14736,37.0,37,Progressive,1,200000,20221004,2022100423,0.07368,1
26,20221005003649,0.0,276,0,104714,104210,J3009,NCM2207P01018,104713,14736,37.0,37,Progressive,1,200000,20221005,2022100500,0.07368,1
27,20221005013654,0.0,277,0,104739,104210,J3009,NCM2207P01018,104738,14736,37.0,37,Progressive,1,200000,20221005,2022100501,0.07368,1
28,20221005023700,0.0,274,0,104804,104210,J3009,NCM2207P01018,104803,14736,37.0,37,Progressive,1,200000,20221005,2022100502,0.07368,1
29,20221005033708,0.0,274,0,104820,104210,J3009,NCM2207P01018,104819,14736,37.0,37,Progressive,1,200000,20221005,2022100503,0.07368,1
30,20221005043714,0.0,273,0,104844,104210,J3009,NCM2207P01018,104843,14736,37.0,37,Progressive,1,200000,20221005,2022100504,0.07368,1
31,20221005053720,0.0,273,0,104860,104210,J3009,NCM2207P01018,104859,14736,37.0,37,Progressive,1,200000,20221005,2022100505,0.07368,1
32,20221005063725,0.0,272,0,104877,104210,J3009,NCM2207P01018,104876,14736,37.0,37,Progressive,1,200000,20221005,2022100506,0.07368,1
33,20221005073730,0.0,271,0,104894,104210,J3009,NCM2207P01018,104893,14736,37.0,37,Progressive,1,200000,20221005,2022100507,0.07368,1
34,20221005083738,0.0,272,0,104912,104210,J3009,NCM2207P01018,104911,14736,37.0,37,Progressive,1,200000,20221005,2022100508,0.07368,1
35,20221005093744,0.0,272,0,104937,104210,J3009,NCM2207P01018,104936,14736,37.0,37,Progressive,1,200000,20221005,2022100509,0.07368,1
36,20221005103750,0.0,274,0,104982,104210,J3009,NCM2207P01018,104981,14736,37.0,37,Progressive,1,200000,20221005,2022100510,0.07368,1
37,20221005113755,0.0,274,0,105039,104210,J3009,NCM2207P01018,105038,14736,37.0,37,Progressive,1,200000,20221005,2022100511,0.07368,1
38,20221005123800,0.0,275,0,105059,104210,J3009,NCM2207P01018,105058,14736,37.0,37,Progressive,1,200000,20221005,2022100512,0.07368,1
39,20221005133805,0.0,277,0,105087,104210,J3009,NCM2207P01018,105086,14736,37.0,37,Progressive,1,200000,20221005,2022100513,0.07368,1
40,20221005143811,0.0,281,0,105109,104210,J3009,NCM2207P01018,105108,14736,37.0,37,Progressive,1,200000,20221005,2022100514,0.07368,1
41,20221005153816,0.0,282,0,105129,104210,J3009,NCM2207P01018,105128,14736,37.0,37,Progressive,1,200000,20221005,2022100515,0.07368,1
42,20221005163820,0.0,286,0,105145,104210,J3009,NCM2207P01018,105144,14736,37.0,37,Progressive,1,200000,20221005,2022100516,0.07368,1
43,20221005173825,0.0,282,0,105178,104210,J3009,NCM2207P01018,105177,14736,37.0,37,Progressive,1,200000,20221005,2022100517,0.07368,1
44,20221005183831,0.0,284,0,105198,104210,J3009,NCM2207P01018,105197,14736,37.0,37,Progressive,1,200000,20221005,2022100518,0.07368,1
45,20221005193837,0.0,283,0,105218,104210,J3009,NCM2207P01018,105217,14736,37.0,37,Progressive,1,200000,20221005,2022100519,0.07368,1
46,20221005203841,0.0,283,0,105239,104210,J3009,NCM2207P01018,105238,14736,37.0,37,Progressive,1,200000,20221005,2022100520,0.07368,1
47,20221005213847,0.0,283,0,105262,104210,J3009,NCM2207P01018,105261,14736,37.0,37,Progressive,1,200000,20221005,2022100521,0.07368,1
48,20221005223852,0.0,285,0,105282,104210,J3009,NCM2207P01018,105281,14736,37.0,37,Progressive,1,200000,20221005,2022100522,0.07368,1
49,20221005233854,0.0,285,0,105301,104210,J3009,NCM2207P01018,105300,14736,37.0,37,Progressive,1,200000,20221005,2022100523,0.07368,1
50,20221006003858,0.0,285,0,105361,104210,J3009,NCM2207P01018,105360,14736,37.0,37,Progressive,1,200000,20221006,2022100600,0.07368,1
51,20221006013900,0.0,284,0,105383,104210,J3009,NCM2207P01018,105382,14736,37.0,37,Progressive,1,200000,20221006,2022100601,0.07368,1
52,20221006024801,0.0,284,0,105407,104210,J3009,NCM2207P01018,105406,14736,37.0,37,Progressive,1,200000,20221006,2022100602,0.07368,1
53,20221006034803,0.0,278,0,105423,104210,J3009,NCM2207P01018,105422,14736,37.0,37,Progressive,1,200000,20221006,2022100603,0.07368,1
54,20221006044806,0.0,277,0,105443,104210,J3009,NCM2207P01018,105442,14736,37.0,37,Progressive,1,200000,20221006,2022100604,0.07368,1
55,20221006054808,0.0,272,0,105463,104210,J3009,NCM2207P01018,105462,14736,37.0,37,Progressive,1,200000,20221006,2022100605,0.07368,1
56,20221006064809,0.0,269,0,105483,104210,J3009,NCM2207P01018,105482,14736,37.0,37,Progressive,1,200000,20221006,2022100606,0.07368,1
57,20221006074814,0.0,272,0,105499,104210,J3009,NCM2207P01018,105498,14736,37.0,37,Progressive,1,200000,20221006,2022100607,0.07368,1
58,20221006084819,0.0,275,0,105588,104210,J3009,NCM2207P01018,105587,14736,37.0,37,Progressive,1,200000,20221006,2022100608,0.07368,1
59,20221006094821,0.0,278,0,105620,104210,J3009,NCM2207P01018,105619,14736,37.0,37,Progressive,1,200000,20221006,2022100609,0.07368,1
60,20221006104826,0.0,281,0,105638,104210,J3009,NCM2207P01018,105637,14736,37.0,37,Progressive,1,200000,20221006,2022100610,0.07368,1
61,20221006114828,0.0,283,0,105654,104210,J3009,NCM2207P01018,105653,14736,37.0,37,Progressive,1,200000,20221006,2022100611,0.07368,1
62,20221006124831,0.0,286,0,105670,104210,J3009,NCM2207P01018,105669,14736,37.0,37,Progressive,1,200000,20221006,2022100612,0.07368,1
