Unnamed: 0,TFF,CT,TAV,SHOT_COUNT,STATISTICS_ID,MOLD_ID,MOLD_CODE,COUNTER_ID,CDATA_ID,SC,WACT,ACT,TOOLING_TYPE,TOTAL_CAVITIES,max_shots,DATE,HOUR,LIFE_CYCLE,PHASE
0,20231013062048,0.0,,0,1491701,1485559,511129-01,EMA2252M10376,1491699,141,186.412806247994,180,DOBRADEIRA,1,50000,20231013,2023101306,0.00282,1
1,20231002125946,67.0,270.0,3,1491707,1485559,511129-01,EMA2252M10376,1491706,125,186.412806247994,180,DOBRADEIRA,1,50000,20231002,2023100212,0.0025,1
2,20231002130027,3.0,278.0,8,1491714,1485559,511129-01,EMA2252M10376,1491713,125,186.412806247994,180,DOBRADEIRA,1,50000,20231002,2023100213,0.0025,1
3,20231005134450,11.0,314.0,16,1491719,1485559,511129-01,EMA2252M10376,1491718,141,186.412806247994,180,DOBRADEIRA,1,50000,20231005,2023100513,0.00282,1
4,20231013063040,3.0,278.0,16,1491726,1485559,511129-01,EMA2252M10376,1491725,157,186.412806247994,180,DOBRADEIRA,1,50000,20231013,2023101306,0.00314,1
5,20231013065525,4.0,278.0,12,1491744,1485559,511129-01,EMA2252M10376,1491743,177,186.412806247994,180,DOBRADEIRA,1,50000,20231013,2023101306,0.00354,1
6,20231013070919,176.0,266.0,8,1491747,1485559,511129-01,EMA2252M10376,1491746,177,186.412806247994,180,DOBRADEIRA,1,50000,20231013,2023101307,0.00354,1
7,20231013145842,7648.0,279.0,11,1492145,1485559,511129-01,EMA2252M10376,1492144,193,186.412806247994,180,DOBRADEIRA,1,50000,20231013,2023101314,0.00386,1
8,20231013150510,608.0,278.0,5,1492149,1485559,511129-01,EMA2252M10376,1492148,193,186.412806247994,180,DOBRADEIRA,1,50000,20231013,2023101315,0.00386,1
9,20231013153242,189.0,277.0,34,1492188,1485559,511129-01,EMA2252M10376,1492187,227,186.412806247994,180,DOBRADEIRA,1,50000,20231013,2023101315,0.00454,1
10,20231013155025,192.0,278.0,1,1492193,1485559,511129-01,EMA2252M10376,1492192,229,186.412806247994,180,DOBRADEIRA,1,50000,20231013,2023101315,0.00458,1
12,20231013185404,188.0,270.0,9,1492270,1485559,511129-01,EMA2252M10376,1492269,239,186.412806247994,180,DOBRADEIRA,1,50000,20231013,2023101318,0.00478,1
14,20231013225952,188.0,243.0,75,1492518,1485559,511129-01,EMA2252M10376,1492517,394,186.412806247994,180,DOBRADEIRA,1,50000,20231013,2023101322,0.00788,1
15,20231013232924,184.0,238.0,80,1492522,1485559,511129-01,EMA2252M10376,1492521,394,186.412806247994,180,DOBRADEIRA,1,50000,20231013,2023101323,0.00788,1
16,20231013235954,184.0,230.0,89,1492540,1485559,511129-01,EMA2252M10376,1492539,555,186.412806247994,180,DOBRADEIRA,1,50000,20231013,2023101323,0.0111,1
17,20231014002921,184.0,230.0,72,1492543,1485559,511129-01,EMA2252M10376,1492542,555,186.412806247994,180,DOBRADEIRA,1,50000,20231014,2023101400,0.0111,1
18,20231014005940,184.0,229.0,84,1492572,1485559,511129-01,EMA2252M10376,1492571,641,186.412806247994,180,DOBRADEIRA,1,50000,20231014,2023101400,0.01282,1
19,20231014010031,280.0,228.0,2,1492575,1485559,511129-01,EMA2252M10376,1492574,641,186.412806247994,180,DOBRADEIRA,1,50000,20231014,2023101401,0.01282,1
20,20231014024941,184.0,223.0,128,1492595,1485559,511129-01,EMA2252M10376,1492594,769,186.412806247994,180,DOBRADEIRA,1,50000,20231014,2023101402,0.01538,1
21,20231014025954,184.0,228.0,31,1493620,1485559,511129-01,EMA2252M10376,1493619,937,186.412806247994,180,DOBRADEIRA,1,50000,20231014,2023101402,0.01874,1
22,20231014034931,184.0,220.0,137,1493623,1485559,511129-01,EMA2252M10376,1493622,937,186.412806247994,180,DOBRADEIRA,1,50000,20231014,2023101403,0.01874,1
23,20231014035950,184.0,220.0,31,1493633,1485559,511129-01,EMA2252M10376,1493632,1077,186.412806247994,180,DOBRADEIRA,1,50000,20231014,2023101403,0.02154,1
24,20231014044933,188.0,218.0,109,1493636,1485559,511129-01,EMA2252M10376,1493635,1077,186.412806247994,180,DOBRADEIRA,1,50000,20231014,2023101404,0.02154,1
25,20231014045942,184.0,218.0,30,1493643,1485559,511129-01,EMA2252M10376,1493642,1227,186.412806247994,180,DOBRADEIRA,1,50000,20231014,2023101404,0.02454,1
