Unnamed: 0,TFF,CT,TAV,SHOT_COUNT,STATISTICS_ID,MOLD_ID,MOLD_CODE,COUNTER_ID,CDATA_ID,SC,WACT,ACT,TOOLING_TYPE,TOTAL_CAVITIES,max_shots,DATE,HOUR,LIFE_CYCLE,PHASE
1,20210429072248,484.0,229.0,4,103871,119961,TOOL003479,NCM2115I01032,103870,4,303.7860884592537,280,injection,16,1000000,20210429,2021042907,4e-06,1
2,20210429082250,0.0,233.0,0,104816,119961,TOOL003479,NCM2115I01032,104815,4,303.7860884592537,280,injection,16,1000000,20210429,2021042908,4e-06,1
3,20210429092250,0.0,233.0,0,104818,119961,TOOL003479,NCM2115I01032,104817,4,303.7860884592537,280,injection,16,1000000,20210429,2021042909,4e-06,1
4,20210429102251,0.0,232.0,0,104820,119961,TOOL003479,NCM2115I01032,104819,4,303.7860884592537,280,injection,16,1000000,20210429,2021042910,4e-06,1
5,20210429113017,0.0,232.0,0,105519,119961,TOOL003479,NCM2115I01032,105518,4,303.7860884592537,280,injection,16,1000000,20210429,2021042911,4e-06,1
6,20210429123019,0.0,231.0,0,105836,119961,TOOL003479,NCM2115I01032,105835,4,303.7860884592537,280,injection,16,1000000,20210429,2021042912,4e-06,1
7,20210429133022,0.0,231.0,0,106081,119961,TOOL003479,NCM2115I01032,106080,4,303.7860884592537,280,injection,16,1000000,20210429,2021042913,4e-06,1
8,20210429143024,0.0,232.0,0,106323,119961,TOOL003479,NCM2115I01032,106322,4,303.7860884592537,280,injection,16,1000000,20210429,2021042914,4e-06,1
9,20210429153026,0.0,231.0,0,106546,119961,TOOL003479,NCM2115I01032,106545,4,303.7860884592537,280,injection,16,1000000,20210429,2021042915,4e-06,1
10,20210429163028,0.0,231.0,0,106768,119961,TOOL003479,NCM2115I01032,106767,4,303.7860884592537,280,injection,16,1000000,20210429,2021042916,4e-06,1
11,20210429173031,0.0,230.0,0,106990,119961,TOOL003479,NCM2115I01032,106989,4,303.7860884592537,280,injection,16,1000000,20210429,2021042917,4e-06,1
12,20210429183033,0.0,230.0,0,107209,119961,TOOL003479,NCM2115I01032,107208,4,303.7860884592537,280,injection,16,1000000,20210429,2021042918,4e-06,1
13,20210429193035,0.0,230.0,0,107428,119961,TOOL003479,NCM2115I01032,107427,4,303.7860884592537,280,injection,16,1000000,20210429,2021042919,4e-06,1
14,20210429203038,0.0,230.0,0,107647,119961,TOOL003479,NCM2115I01032,107646,4,303.7860884592537,280,injection,16,1000000,20210429,2021042920,4e-06,1
15,20210429213040,0.0,230.0,0,107866,119961,TOOL003479,NCM2115I01032,107865,4,303.7860884592537,280,injection,16,1000000,20210429,2021042921,4e-06,1
16,20210429223042,0.0,230.0,0,108088,119961,TOOL003479,NCM2115I01032,108087,4,303.7860884592537,280,injection,16,1000000,20210429,2021042922,4e-06,1
17,20210429233044,0.0,231.0,0,108312,119961,TOOL003479,NCM2115I01032,108311,4,303.7860884592537,280,injection,16,1000000,20210429,2021042923,4e-06,1
18,20210430003047,0.0,229.0,0,108531,119961,TOOL003479,NCM2115I01032,108530,4,303.7860884592537,280,injection,16,1000000,20210430,2021043000,4e-06,1
19,20210430013049,0.0,229.0,0,108750,119961,TOOL003479,NCM2115I01032,108749,4,303.7860884592537,280,injection,16,1000000,20210430,2021043001,4e-06,1
20,20210430023051,0.0,229.0,0,108973,119961,TOOL003479,NCM2115I01032,108972,4,303.7860884592537,280,injection,16,1000000,20210430,2021043002,4e-06,1
21,20210430033053,440.0,229.0,1,124822,119961,TOOL003479,NCM2115I01032,124821,5,303.7860884592537,280,injection,16,1000000,20210430,2021043003,5e-06,1
22,20210430063101,0.0,232.0,1,124823,119961,TOOL003479,NCM2115I01032,109427,6,303.7860884592537,280,injection,16,1000000,20210430,2021043006,6e-06,1
23,20210502113156,0.0,232.0,6,457177,119961,TOOL003479,NCM2115I01032,457170,6,303.7860884592537,280,injection,16,1000000,20210502,2021050211,6e-06,1
24,20210502123157,0.0,230.0,0,463919,119961,TOOL003479,NCM2115I01032,463910,6,303.7860884592537,280,injection,16,1000000,20210502,2021050212,6e-06,1
25,20210502133158,0.0,230.0,0,470572,119961,TOOL003479,NCM2115I01032,470558,6,303.7860884592537,280,injection,16,1000000,20210502,2021050213,6e-06,1
26,20210502143159,0.0,232.0,0,476992,119961,TOOL003479,NCM2115I01032,476982,6,303.7860884592537,280,injection,16,1000000,20210502,2021050214,6e-06,1
27,20210502153200,0.0,233.0,0,483629,119961,TOOL003479,NCM2115I01032,483623,6,303.7860884592537,280,injection,16,1000000,20210502,2021050215,6e-06,1
28,20210502163201,0.0,232.0,0,490230,119961,TOOL003479,NCM2115I01032,490226,6,303.7860884592537,280,injection,16,1000000,20210502,2021050216,6e-06,1
29,20210502173202,0.0,231.0,0,490238,119961,TOOL003479,NCM2115I01032,363858,6,303.7860884592537,280,injection,16,1000000,20210502,2021050217,6e-06,1
30,20210502183203,0.0,232.0,0,490248,119961,TOOL003479,NCM2115I01032,373492,6,303.7860884592537,280,injection,16,1000000,20210502,2021050218,6e-06,1
31,20210502193204,0.0,231.0,0,490256,119961,TOOL003479,NCM2115I01032,382364,6,303.7860884592537,280,injection,16,1000000,20210502,2021050219,6e-06,1
32,20210502203205,0.0,232.0,0,490270,119961,TOOL003479,NCM2115I01032,391609,6,303.7860884592537,280,injection,16,1000000,20210502,2021050220,6e-06,1
33,20210502213206,0.0,228.0,0,490280,119961,TOOL003479,NCM2115I01032,399684,6,303.7860884592537,280,injection,16,1000000,20210502,2021050221,6e-06,1
34,20210502223207,0.0,229.0,0,490292,119961,TOOL003479,NCM2115I01032,407419,6,303.7860884592537,280,injection,16,1000000,20210502,2021050222,6e-06,1
35,20210502233208,0.0,229.0,0,490303,119961,TOOL003479,NCM2115I01032,415670,6,303.7860884592537,280,injection,16,1000000,20210502,2021050223,6e-06,1
36,20210503003209,0.0,229.0,0,490314,119961,TOOL003479,NCM2115I01032,423655,6,303.7860884592537,280,injection,16,1000000,20210503,2021050300,6e-06,1
37,20210503013210,0.0,230.0,0,490331,119961,TOOL003479,NCM2115I01032,430852,6,303.7860884592537,280,injection,16,1000000,20210503,2021050301,6e-06,1
38,20210503023211,0.0,231.0,0,490353,119961,TOOL003479,NCM2115I01032,437981,6,303.7860884592537,280,injection,16,1000000,20210503,2021050302,6e-06,1
39,20210503033212,0.0,232.0,0,490377,119961,TOOL003479,NCM2115I01032,444343,6,303.7860884592537,280,injection,16,1000000,20210503,2021050303,6e-06,1
40,20210503043213,0.0,232.0,0,490400,119961,TOOL003479,NCM2115I01032,450722,6,303.7860884592537,280,injection,16,1000000,20210503,2021050304,6e-06,1
41,20210610144755,0.0,249.0,13,490424,119961,TOOL003479,NCM2115I01032,127611,19,303.7860884592537,280,injection,16,1000000,20210610,2021061014,1.9e-05,1
42,20210610154756,0.0,250.0,0,490432,119961,TOOL003479,NCM2115I01032,127613,19,303.7860884592537,280,injection,16,1000000,20210610,2021061015,1.9e-05,1
43,20210610164757,0.0,247.0,0,490438,119961,TOOL003479,NCM2115I01032,127615,19,303.7860884592537,280,injection,16,1000000,20210610,2021061016,1.9e-05,1
44,20210610174758,0.0,245.0,0,490446,119961,TOOL003479,NCM2115I01032,127617,19,303.7860884592537,280,injection,16,1000000,20210610,2021061017,1.9e-05,1
45,20210610184759,0.0,244.0,0,490454,119961,TOOL003479,NCM2115I01032,127619,19,303.7860884592537,280,injection,16,1000000,20210610,2021061018,1.9e-05,1
46,20210610194800,0.0,245.0,0,490461,119961,TOOL003479,NCM2115I01032,127621,19,303.7860884592537,280,injection,16,1000000,20210610,2021061019,1.9e-05,1
47,20210610204801,0.0,246.0,0,490467,119961,TOOL003479,NCM2115I01032,127623,19,303.7860884592537,280,injection,16,1000000,20210610,2021061020,1.9e-05,1
48,20210610214802,0.0,247.0,0,490473,119961,TOOL003479,NCM2115I01032,127625,19,303.7860884592537,280,injection,16,1000000,20210610,2021061021,1.9e-05,1
49,20210610224803,0.0,250.0,0,490482,119961,TOOL003479,NCM2115I01032,127627,19,303.7860884592537,280,injection,16,1000000,20210610,2021061022,1.9e-05,1
50,20210610234804,0.0,250.0,0,490488,119961,TOOL003479,NCM2115I01032,127629,19,303.7860884592537,280,injection,16,1000000,20210610,2021061023,1.9e-05,1
51,20210611004805,0.0,249.0,0,490496,119961,TOOL003479,NCM2115I01032,127631,19,303.7860884592537,280,injection,16,1000000,20210611,2021061100,1.9e-05,1
52,20210611014806,0.0,251.0,0,490502,119961,TOOL003479,NCM2115I01032,127633,19,303.7860884592537,280,injection,16,1000000,20210611,2021061101,1.9e-05,1
53,20210611024807,0.0,251.0,0,490511,119961,TOOL003479,NCM2115I01032,127650,19,303.7860884592537,280,injection,16,1000000,20210611,2021061102,1.9e-05,1
54,20210611034808,0.0,250.0,0,490517,119961,TOOL003479,NCM2115I01032,127652,19,303.7860884592537,280,injection,16,1000000,20210611,2021061103,1.9e-05,1
55,20210611044809,0.0,251.0,0,490523,119961,TOOL003479,NCM2115I01032,127654,19,303.7860884592537,280,injection,16,1000000,20210611,2021061104,1.9e-05,1
