Unnamed: 0,TFF,CT,TAV,SHOT_COUNT,STATISTICS_ID,MOLD_ID,MOLD_CODE,COUNTER_ID,CDATA_ID,SC,WACT,ACT,TOOLING_TYPE,TOTAL_CAVITIES,max_shots,DATE,HOUR,LIFE_CYCLE,PHASE
0,20210528150205,0.0,287,14388,114090,103997,9781.12-016 T6,NCM2115I01011,114089,14388,306.45068117480537,420,Injection Mold,1,1000000,20210528,2021052815,0.014388,1
1,20210528160207,0.0,278,0,114203,103997,9781.12-016 T6,NCM2115I01011,114202,14388,306.45068117480537,420,Injection Mold,1,1000000,20210528,2021052816,0.014388,1
2,20210528170210,0.0,275,0,114308,103997,9781.12-016 T6,NCM2115I01011,114307,14388,306.45068117480537,420,Injection Mold,1,1000000,20210528,2021052817,0.014388,1
3,20210528180212,0.0,271,0,114412,103997,9781.12-016 T6,NCM2115I01011,114411,14388,306.45068117480537,420,Injection Mold,1,1000000,20210528,2021052818,0.014388,1
4,20210528190214,0.0,267,0,114517,103997,9781.12-016 T6,NCM2115I01011,114516,14388,306.45068117480537,420,Injection Mold,1,1000000,20210528,2021052819,0.014388,1
5,20210528200216,0.0,264,0,114622,103997,9781.12-016 T6,NCM2115I01011,114621,14388,306.45068117480537,420,Injection Mold,1,1000000,20210528,2021052820,0.014388,1
6,20210528210219,0.0,262,0,114727,103997,9781.12-016 T6,NCM2115I01011,114726,14388,306.45068117480537,420,Injection Mold,1,1000000,20210528,2021052821,0.014388,1
7,20210528220221,0.0,259,0,114832,103997,9781.12-016 T6,NCM2115I01011,114831,14388,306.45068117480537,420,Injection Mold,1,1000000,20210528,2021052822,0.014388,1
8,20210528230223,0.0,255,0,114937,103997,9781.12-016 T6,NCM2115I01011,114936,14388,306.45068117480537,420,Injection Mold,1,1000000,20210528,2021052823,0.014388,1
9,20210529000226,0.0,252,0,115049,103997,9781.12-016 T6,NCM2115I01011,115048,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052900,0.014388,1
10,20210529010228,0.0,248,0,115154,103997,9781.12-016 T6,NCM2115I01011,115153,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052901,0.014388,1
11,20210529020230,0.0,246,0,115259,103997,9781.12-016 T6,NCM2115I01011,115258,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052902,0.014388,1
12,20210529030232,0.0,244,0,115368,103997,9781.12-016 T6,NCM2115I01011,115367,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052903,0.014388,1
13,20210529040234,0.0,244,0,115473,103997,9781.12-016 T6,NCM2115I01011,115472,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052904,0.014388,1
14,20210529050236,0.0,243,0,115578,103997,9781.12-016 T6,NCM2115I01011,115577,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052905,0.014388,1
15,20210529060238,0.0,239,0,115692,103997,9781.12-016 T6,NCM2115I01011,115691,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052906,0.014388,1
16,20210529070240,0.0,236,0,115801,103997,9781.12-016 T6,NCM2115I01011,115800,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052907,0.014388,1
17,20210529080242,0.0,233,0,115915,103997,9781.12-016 T6,NCM2115I01011,115914,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052908,0.014388,1
18,20210529090245,0.0,229,0,116020,103997,9781.12-016 T6,NCM2115I01011,116019,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052909,0.014388,1
19,20210529100247,0.0,228,0,116125,103997,9781.12-016 T6,NCM2115I01011,116124,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052910,0.014388,1
20,20210529110249,0.0,224,0,116230,103997,9781.12-016 T6,NCM2115I01011,116229,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052911,0.014388,1
21,20210529120252,0.0,225,0,116335,103997,9781.12-016 T6,NCM2115I01011,116334,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052912,0.014388,1
22,20210529130254,0.0,223,0,116440,103997,9781.12-016 T6,NCM2115I01011,116439,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052913,0.014388,1
23,20210529140256,0.0,223,0,116545,103997,9781.12-016 T6,NCM2115I01011,116544,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052914,0.014388,1
24,20210529150258,0.0,220,0,116650,103997,9781.12-016 T6,NCM2115I01011,116649,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052915,0.014388,1
25,20210529160300,0.0,219,0,116765,103997,9781.12-016 T6,NCM2115I01011,116764,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052916,0.014388,1
26,20210529170302,0.0,218,0,116872,103997,9781.12-016 T6,NCM2115I01011,116871,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052917,0.014388,1
27,20210529180304,0.0,217,0,116978,103997,9781.12-016 T6,NCM2115I01011,116977,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052918,0.014388,1
28,20210529190306,0.0,216,0,117084,103997,9781.12-016 T6,NCM2115I01011,117083,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052919,0.014388,1
29,20210529200309,0.0,211,0,117190,103997,9781.12-016 T6,NCM2115I01011,117189,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052920,0.014388,1
30,20210529210312,0.0,209,0,117296,103997,9781.12-016 T6,NCM2115I01011,117295,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052921,0.014388,1
31,20210529220315,0.0,205,0,117405,103997,9781.12-016 T6,NCM2115I01011,117404,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052922,0.014388,1
32,20210529230317,0.0,204,0,117511,103997,9781.12-016 T6,NCM2115I01011,117510,14388,306.45068117480537,420,Injection Mold,1,1000000,20210529,2021052923,0.014388,1
33,20210530000319,0.0,202,0,117624,103997,9781.12-016 T6,NCM2115I01011,117623,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053000,0.014388,1
34,20210530010321,0.0,203,0,117730,103997,9781.12-016 T6,NCM2115I01011,117729,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053001,0.014388,1
35,20210530020323,0.0,203,0,117836,103997,9781.12-016 T6,NCM2115I01011,117835,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053002,0.014388,1
36,20210530030325,0.0,203,0,117946,103997,9781.12-016 T6,NCM2115I01011,117945,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053003,0.014388,1
37,20210530040328,0.0,202,0,118052,103997,9781.12-016 T6,NCM2115I01011,118051,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053004,0.014388,1
38,20210530050330,0.0,204,0,118158,103997,9781.12-016 T6,NCM2115I01011,118157,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053005,0.014388,1
39,20210530060332,0.0,203,0,118274,103997,9781.12-016 T6,NCM2115I01011,118273,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053006,0.014388,1
40,20210530070334,0.0,204,0,118380,103997,9781.12-016 T6,NCM2115I01011,118379,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053007,0.014388,1
41,20210530080336,0.0,205,0,118486,103997,9781.12-016 T6,NCM2115I01011,118485,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053008,0.014388,1
42,20210530090338,0.0,206,0,118592,103997,9781.12-016 T6,NCM2115I01011,118591,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053009,0.014388,1
43,20210530100340,0.0,206,0,118698,103997,9781.12-016 T6,NCM2115I01011,118697,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053010,0.014388,1
44,20210530110342,0.0,209,0,118804,103997,9781.12-016 T6,NCM2115I01011,118803,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053011,0.014388,1
45,20210530120344,0.0,211,0,118910,103997,9781.12-016 T6,NCM2115I01011,118909,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053012,0.014388,1
46,20210530130347,0.0,211,0,119016,103997,9781.12-016 T6,NCM2115I01011,119015,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053013,0.014388,1
47,20210530140349,0.0,211,0,119122,103997,9781.12-016 T6,NCM2115I01011,119121,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053014,0.014388,1
48,20210530150351,0.0,214,0,119228,103997,9781.12-016 T6,NCM2115I01011,119227,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053015,0.014388,1
49,20210530160353,0.0,213,0,119345,103997,9781.12-016 T6,NCM2115I01011,119344,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053016,0.014388,1
50,20210530170355,0.0,212,0,119451,103997,9781.12-016 T6,NCM2115I01011,119450,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053017,0.014388,1
51,20210530180357,0.0,211,0,119557,103997,9781.12-016 T6,NCM2115I01011,119556,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053018,0.014388,1
52,20210530190359,0.0,211,0,119663,103997,9781.12-016 T6,NCM2115I01011,119662,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053019,0.014388,1
53,20210530200402,0.0,212,0,119769,103997,9781.12-016 T6,NCM2115I01011,119768,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053020,0.014388,1
54,20210530210405,0.0,210,0,119878,103997,9781.12-016 T6,NCM2115I01011,119877,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053021,0.014388,1
55,20210530220407,0.0,210,0,119984,103997,9781.12-016 T6,NCM2115I01011,119983,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053022,0.014388,1
56,20210530230409,0.0,210,0,120103,103997,9781.12-016 T6,NCM2115I01011,120102,14388,306.45068117480537,420,Injection Mold,1,1000000,20210530,2021053023,0.014388,1
57,20210531000411,0.0,206,0,120203,103997,9781.12-016 T6,NCM2115I01011,120202,14388,306.45068117480537,420,Injection Mold,1,1000000,20210531,2021053100,0.014388,1
58,20210531010413,0.0,209,0,120309,103997,9781.12-016 T6,NCM2115I01011,120308,14388,306.45068117480537,420,Injection Mold,1,1000000,20210531,2021053101,0.014388,1
59,20210531020415,0.0,208,0,120413,103997,9781.12-016 T6,NCM2115I01011,120412,14388,306.45068117480537,420,Injection Mold,1,1000000,20210531,2021053102,0.014388,1
60,20210531030417,0.0,210,0,120525,103997,9781.12-016 T6,NCM2115I01011,120524,14388,306.45068117480537,420,Injection Mold,1,1000000,20210531,2021053103,0.014388,1
61,20210531040420,0.0,206,0,120631,103997,9781.12-016 T6,NCM2115I01011,120630,14388,306.45068117480537,420,Injection Mold,1,1000000,20210531,2021053104,0.014388,1
62,20210531050422,0.0,202,0,120747,103997,9781.12-016 T6,NCM2115I01011,120746,14388,306.45068117480537,420,Injection Mold,1,1000000,20210531,2021053105,0.014388,1
63,20210531060424,0.0,200,0,120856,103997,9781.12-016 T6,NCM2115I01011,120855,14388,306.45068117480537,420,Injection Mold,1,1000000,20210531,2021053106,0.014388,1
64,20210531070426,0.0,202,0,120963,103997,9781.12-016 T6,NCM2115I01011,120962,14388,306.45068117480537,420,Injection Mold,1,1000000,20210531,2021053107,0.014388,1
65,20210531080428,0.0,207,0,121069,103997,9781.12-016 T6,NCM2115I01011,121068,14388,306.45068117480537,420,Injection Mold,1,1000000,20210531,2021053108,0.014388,1
66,20210531090430,0.0,265,0,121176,103997,9781.12-016 T6,NCM2115I01011,121175,14388,306.45068117480537,420,Injection Mold,1,1000000,20210531,2021053109,0.014388,1
67,20210531100432,0.0,269,0,121472,103997,9781.12-016 T6,NCM2115I01011,121471,14388,306.45068117480537,420,Injection Mold,1,1000000,20210531,2021053110,0.014388,1
