Unnamed: 0,TFF,CT,TAV,SHOT_COUNT,STATISTICS_ID,MOLD_ID,MOLD_CODE,COUNTER_ID,CDATA_ID,SC,WACT,ACT,TOOLING_TYPE,TOTAL_CAVITIES,max_shots,DATE,HOUR,LIFE_CYCLE,PHASE
0,20200922142609,0.0,248,1,40006,36460,2TAP200017R0008,NCM2029I01023,40004,1,128.0,140,Injection Mold,32,1000000,20200922,2020092214,1e-06,1
1,20200922152612,0.0,247,0,40196,36460,2TAP200017R0008,NCM2029I01023,40194,1,128.0,140,Injection Mold,32,1000000,20200922,2020092215,1e-06,1
2,20200922162614,0.0,249,0,40358,36460,2TAP200017R0008,NCM2029I01023,40356,1,128.0,140,Injection Mold,32,1000000,20200922,2020092216,1e-06,1
3,20200922172616,0.0,251,0,40521,36460,2TAP200017R0008,NCM2029I01023,40519,1,128.0,140,Injection Mold,32,1000000,20200922,2020092217,1e-06,1
4,20200922182618,0.0,247,0,40683,36460,2TAP200017R0008,NCM2029I01023,40681,1,128.0,140,Injection Mold,32,1000000,20200922,2020092218,1e-06,1
5,20200922192621,0.0,244,0,40845,36460,2TAP200017R0008,NCM2029I01023,40843,1,128.0,140,Injection Mold,32,1000000,20200922,2020092219,1e-06,1
6,20200922202624,0.0,239,0,41030,36460,2TAP200017R0008,NCM2029I01023,41028,1,128.0,140,Injection Mold,32,1000000,20200922,2020092220,1e-06,1
7,20200922212627,0.0,234,0,41202,36460,2TAP200017R0008,NCM2029I01023,41200,1,128.0,140,Injection Mold,32,1000000,20200922,2020092221,1e-06,1
8,20200922222629,0.0,233,0,41378,36460,2TAP200017R0008,NCM2029I01023,41376,1,128.0,140,Injection Mold,32,1000000,20200922,2020092222,1e-06,1
9,20200922232631,0.0,228,0,41611,36460,2TAP200017R0008,NCM2029I01023,41609,1,128.0,140,Injection Mold,32,1000000,20200922,2020092223,1e-06,1
10,20200923002633,0.0,233,0,41782,36460,2TAP200017R0008,NCM2029I01023,41780,1,128.0,140,Injection Mold,32,1000000,20200923,2020092300,1e-06,1
11,20200923012635,0.0,239,0,41950,36460,2TAP200017R0008,NCM2029I01023,41948,1,128.0,140,Injection Mold,32,1000000,20200923,2020092301,1e-06,1
12,20200923022638,0.0,236,0,42122,36460,2TAP200017R0008,NCM2029I01023,42120,1,128.0,140,Injection Mold,32,1000000,20200923,2020092302,1e-06,1
13,20200923032640,0.0,239,0,42290,36460,2TAP200017R0008,NCM2029I01023,42288,1,128.0,140,Injection Mold,32,1000000,20200923,2020092303,1e-06,1
14,20200923042642,0.0,237,0,42458,36460,2TAP200017R0008,NCM2029I01023,42456,1,128.0,140,Injection Mold,32,1000000,20200923,2020092304,1e-06,1
15,20200923052645,0.0,237,0,42626,36460,2TAP200017R0008,NCM2029I01023,42624,1,128.0,140,Injection Mold,32,1000000,20200923,2020092305,1e-06,1
16,20200923062647,0.0,239,0,42794,36460,2TAP200017R0008,NCM2029I01023,42792,1,128.0,140,Injection Mold,32,1000000,20200923,2020092306,1e-06,1
17,20200923072649,0.0,236,0,42962,36460,2TAP200017R0008,NCM2029I01023,42960,1,128.0,140,Injection Mold,32,1000000,20200923,2020092307,1e-06,1
18,20200923082651,0.0,219,0,43130,36460,2TAP200017R0008,NCM2029I01023,43128,1,128.0,140,Injection Mold,32,1000000,20200923,2020092308,1e-06,1
19,20200923092653,0.0,213,0,43560,36460,2TAP200017R0008,NCM2029I01023,43558,1,128.0,140,Injection Mold,32,1000000,20200923,2020092309,1e-06,1
20,20200923102655,0.0,211,0,43907,36460,2TAP200017R0008,NCM2029I01023,43905,1,128.0,140,Injection Mold,32,1000000,20200923,2020092310,1e-06,1
21,20200923112657,0.0,213,0,44095,36460,2TAP200017R0008,NCM2029I01023,44093,1,128.0,140,Injection Mold,32,1000000,20200923,2020092311,1e-06,1
22,20200923122659,0.0,221,0,44294,36460,2TAP200017R0008,NCM2029I01023,44292,1,128.0,140,Injection Mold,32,1000000,20200923,2020092312,1e-06,1
23,20200923132701,0.0,217,0,44488,36460,2TAP200017R0008,NCM2029I01023,44486,1,128.0,140,Injection Mold,32,1000000,20200923,2020092313,1e-06,1
24,20200923142703,0.0,207,0,44666,36460,2TAP200017R0008,NCM2029I01023,44664,1,128.0,140,Injection Mold,32,1000000,20200923,2020092314,1e-06,1
25,20200923152705,0.0,204,0,44844,36460,2TAP200017R0008,NCM2029I01023,44842,1,128.0,140,Injection Mold,32,1000000,20200923,2020092315,1e-06,1
26,20200923162707,0.0,206,0,45022,36460,2TAP200017R0008,NCM2029I01023,45020,1,128.0,140,Injection Mold,32,1000000,20200923,2020092316,1e-06,1
27,20200923172709,0.0,214,0,45200,36460,2TAP200017R0008,NCM2029I01023,45198,1,128.0,140,Injection Mold,32,1000000,20200923,2020092317,1e-06,1
