Unnamed: 0,TFF,CT,TAV,SHOT_COUNT,STATISTICS_ID,MOLD_ID,MOLD_CODE,COUNTER_ID,CDATA_ID,SC,WACT,ACT,TOOLING_TYPE,TOTAL_CAVITIES,max_shots,DATE,HOUR,LIFE_CYCLE,PHASE
0,20210408055342,0.0,195,1,104216,120006,TOOL004048,NCM2115I01123,104214,1,186.0,186,injection,16,1000000,20210408,2021040805,1e-06,1
1,20210408065343,0.0,196,0,104218,120006,TOOL004048,NCM2115I01123,104217,1,186.0,186,injection,16,1000000,20210408,2021040806,1e-06,1
2,20210408075344,0.0,196,0,104220,120006,TOOL004048,NCM2115I01123,104219,1,186.0,186,injection,16,1000000,20210408,2021040807,1e-06,1
3,20210407145327,0.0,201,0,104222,120006,TOOL004048,NCM2115I01123,104221,1,186.0,186,injection,16,1000000,20210407,2021040714,1e-06,1
4,20210407155328,0.0,200,0,104224,120006,TOOL004048,NCM2115I01123,104223,1,186.0,186,injection,16,1000000,20210407,2021040715,1e-06,1
5,20210407165329,0.0,197,0,104226,120006,TOOL004048,NCM2115I01123,104225,1,186.0,186,injection,16,1000000,20210407,2021040716,1e-06,1
6,20210407175330,0.0,195,0,104228,120006,TOOL004048,NCM2115I01123,104227,1,186.0,186,injection,16,1000000,20210407,2021040717,1e-06,1
7,20210407185331,0.0,194,0,104245,120006,TOOL004048,NCM2115I01123,104244,1,186.0,186,injection,16,1000000,20210407,2021040718,1e-06,1
8,20210407195332,0.0,194,0,104247,120006,TOOL004048,NCM2115I01123,104246,1,186.0,186,injection,16,1000000,20210407,2021040719,1e-06,1
9,20210407205333,0.0,192,0,104249,120006,TOOL004048,NCM2115I01123,104248,1,186.0,186,injection,16,1000000,20210407,2021040720,1e-06,1
10,20210407215334,0.0,192,0,104251,120006,TOOL004048,NCM2115I01123,104250,1,186.0,186,injection,16,1000000,20210407,2021040721,1e-06,1
11,20210407225335,0.0,190,0,104253,120006,TOOL004048,NCM2115I01123,104252,1,186.0,186,injection,16,1000000,20210407,2021040722,1e-06,1
12,20210407235336,0.0,191,0,104255,120006,TOOL004048,NCM2115I01123,104254,1,186.0,186,injection,16,1000000,20210407,2021040723,1e-06,1
13,20210408005337,0.0,190,0,104257,120006,TOOL004048,NCM2115I01123,104256,1,186.0,186,injection,16,1000000,20210408,2021040800,1e-06,1
14,20210408015338,0.0,191,0,104259,120006,TOOL004048,NCM2115I01123,104258,1,186.0,186,injection,16,1000000,20210408,2021040801,1e-06,1
15,20210408025339,0.0,189,0,104261,120006,TOOL004048,NCM2115I01123,104260,1,186.0,186,injection,16,1000000,20210408,2021040802,1e-06,1
16,20210408035340,0.0,191,0,104263,120006,TOOL004048,NCM2115I01123,104262,1,186.0,186,injection,16,1000000,20210408,2021040803,1e-06,1
18,20210429094039,0.0,252,0,104958,120006,TOOL004048,NCM2115I01123,104957,11,186.0,186,injection,16,1000000,20210429,2021042909,1.1e-05,1
19,20210429114046,0.0,249,0,105578,120006,TOOL004048,NCM2115I01123,105577,14,186.0,186,injection,16,1000000,20210429,2021042911,1.4e-05,1
20,20210429124049,0.0,246,0,105886,120006,TOOL004048,NCM2115I01123,105885,14,186.0,186,injection,16,1000000,20210429,2021042912,1.4e-05,1
21,20210429134051,0.0,245,0,106139,120006,TOOL004048,NCM2115I01123,106138,14,186.0,186,injection,16,1000000,20210429,2021042913,1.4e-05,1
22,20210429144054,0.0,245,0,106381,120006,TOOL004048,NCM2115I01123,106380,14,186.0,186,injection,16,1000000,20210429,2021042914,1.4e-05,1
23,20210429154056,0.0,243,0,106604,120006,TOOL004048,NCM2115I01123,106603,14,186.0,186,injection,16,1000000,20210429,2021042915,1.4e-05,1
24,20210429164058,0.0,242,0,106826,120006,TOOL004048,NCM2115I01123,106825,14,186.0,186,injection,16,1000000,20210429,2021042916,1.4e-05,1
