Unnamed: 0,TFF,CT,TAV,SHOT_COUNT,STATISTICS_ID,MOLD_ID,MOLD_CODE,COUNTER_ID,CDATA_ID,SC,WACT,ACT,TOOLING_TYPE,TOTAL_CAVITIES,max_shots,DATE,HOUR,LIFE_CYCLE,PHASE
0,20210908201911,0.0,273,105,228364,225414,GHW1792186R0001   ,NCM2111I01013,228362,105,147.0,135.0,Injection mold,4,1000000,20210908,2021090820,0.000105,1
1,20210908211912,0.0,274,0,228368,225414,GHW1792186R0001   ,NCM2111I01013,228367,105,147.0,135.0,Injection mold,4,1000000,20210908,2021090821,0.000105,1
2,20210908221913,0.0,275,0,228371,225414,GHW1792186R0001   ,NCM2111I01013,228370,105,147.0,135.0,Injection mold,4,1000000,20210908,2021090822,0.000105,1
3,20210908231914,0.0,276,0,228389,225414,GHW1792186R0001   ,NCM2111I01013,228388,105,147.0,135.0,Injection mold,4,1000000,20210908,2021090823,0.000105,1
4,20210909001915,0.0,274,0,228392,225414,GHW1792186R0001   ,NCM2111I01013,228391,105,147.0,135.0,Injection mold,4,1000000,20210909,2021090900,0.000105,1
5,20210909011916,0.0,274,0,228395,225414,GHW1792186R0001   ,NCM2111I01013,228394,105,147.0,135.0,Injection mold,4,1000000,20210909,2021090901,0.000105,1
6,20210909021917,0.0,271,0,228407,225414,GHW1792186R0001   ,NCM2111I01013,228400,105,147.0,135.0,Injection mold,4,1000000,20210909,2021090902,0.000105,1
7,20210909031918,0.0,270,0,228421,225414,GHW1792186R0001   ,NCM2111I01013,228418,105,147.0,135.0,Injection mold,4,1000000,20210909,2021090903,0.000105,1
8,20210909041919,0.0,269,0,228434,225414,GHW1792186R0001   ,NCM2111I01013,228431,105,147.0,135.0,Injection mold,4,1000000,20210909,2021090904,0.000105,1
9,20210909051920,0.0,265,0,228446,225414,GHW1792186R0001   ,NCM2111I01013,228444,105,147.0,135.0,Injection mold,4,1000000,20210909,2021090905,0.000105,1
10,20210909061921,0.0,266,0,228450,225414,GHW1792186R0001   ,NCM2111I01013,228449,105,147.0,135.0,Injection mold,4,1000000,20210909,2021090906,0.000105,1
11,20210909071922,0.0,266,0,228453,225414,GHW1792186R0001   ,NCM2111I01013,228452,105,147.0,135.0,Injection mold,4,1000000,20210909,2021090907,0.000105,1
12,20210909081923,0.0,267,0,228456,225414,GHW1792186R0001   ,NCM2111I01013,228455,105,147.0,135.0,Injection mold,4,1000000,20210909,2021090908,0.000105,1
13,20210909091924,0.0,270,0,228459,225414,GHW1792186R0001   ,NCM2111I01013,228458,105,147.0,135.0,Injection mold,4,1000000,20210909,2021090909,0.000105,1
14,20210909101925,0.0,274,0,228462,225414,GHW1792186R0001   ,NCM2111I01013,228461,105,147.0,135.0,Injection mold,4,1000000,20210909,2021090910,0.000105,1
15,20210909111926,0.0,278,0,228465,225414,GHW1792186R0001   ,NCM2111I01013,228464,105,147.0,135.0,Injection mold,4,1000000,20210909,2021090911,0.000105,1
16,20210909121927,194.0,275,1,228468,225414,GHW1792186R0001   ,NCM2111I01013,228467,106,147.0,135.0,Injection mold,4,1000000,20210909,2021090912,0.000106,1
17,20210909131928,194.0,280,2,228471,225414,GHW1792186R0001   ,NCM2111I01013,228470,108,147.0,135.0,Injection mold,4,1000000,20210909,2021090913,0.000108,1
18,20210909141944,147.0,406,16,228922,225414,GHW1792186R0001   ,NCM2111I01013,228920,124,147.0,135.0,Injection mold,4,1000000,20210909,2021090914,0.000124,1
19,20210909151947,147.0,400,243,228960,225414,GHW1792186R0001   ,NCM2111I01013,228959,367,147.0,135.0,Injection mold,4,1000000,20210909,2021090915,0.000367,1
20,20210909161950,147.0,371,246,228988,225414,GHW1792186R0001   ,NCM2111I01013,228987,613,147.0,135.0,Injection mold,4,1000000,20210909,2021090916,0.000613,1
21,20210909171952,148.0,374,235,229016,225414,GHW1792186R0001   ,NCM2111I01013,229015,848,147.0,135.0,Injection mold,4,1000000,20210909,2021090917,0.000848,1
22,20210909181955,147.0,373,245,229044,225414,GHW1792186R0001   ,NCM2111I01013,229043,1093,147.0,135.0,Injection mold,4,1000000,20210909,2021090918,0.001093,1
23,20210909191957,147.0,373,244,229072,225414,GHW1792186R0001   ,NCM2111I01013,229071,1337,147.0,135.0,Injection mold,4,1000000,20210909,2021090919,0.001337,1
24,20210909201959,147.0,371,245,229100,225414,GHW1792186R0001   ,NCM2111I01013,229099,1582,147.0,135.0,Injection mold,4,1000000,20210909,2021090920,0.001582,1
25,20210909212001,147.0,367,244,229128,225414,GHW1792186R0001   ,NCM2111I01013,229127,1826,147.0,135.0,Injection mold,4,1000000,20210909,2021090921,0.001826,1
26,20210909222003,147.0,364,244,229156,225414,GHW1792186R0001   ,NCM2111I01013,229155,2070,147.0,135.0,Injection mold,4,1000000,20210909,2021090922,0.00207,1
27,20210909232006,147.0,365,241,229184,225414,GHW1792186R0001   ,NCM2111I01013,229183,2311,147.0,135.0,Injection mold,4,1000000,20210909,2021090923,0.002311,1
28,20210910002008,147.0,363,245,229223,225414,GHW1792186R0001   ,NCM2111I01013,229222,2556,147.0,135.0,Injection mold,4,1000000,20210910,2021091000,0.002556,1
29,20210910012010,147.0,364,244,229253,225414,GHW1792186R0001   ,NCM2111I01013,229252,2800,147.0,135.0,Injection mold,4,1000000,20210910,2021091001,0.0028,1
30,20210910022012,147.0,362,244,229285,225414,GHW1792186R0001   ,NCM2111I01013,229284,3044,147.0,135.0,Injection mold,4,1000000,20210910,2021091002,0.003044,1
31,20210910032015,147.0,358,244,229317,225414,GHW1792186R0001   ,NCM2111I01013,229316,3288,147.0,135.0,Injection mold,4,1000000,20210910,2021091003,0.003288,1
32,20210910042018,147.0,359,245,229345,225414,GHW1792186R0001   ,NCM2111I01013,229344,3533,147.0,135.0,Injection mold,4,1000000,20210910,2021091004,0.003533,1
33,20210910052020,147.0,358,244,229373,225414,GHW1792186R0001   ,NCM2111I01013,229372,3777,147.0,135.0,Injection mold,4,1000000,20210910,2021091005,0.003777,1
34,20210910062023,147.0,358,244,229465,225414,GHW1792186R0001   ,NCM2111I01013,229464,4021,147.0,135.0,Injection mold,4,1000000,20210910,2021091006,0.004021,1
35,20210910072026,147.0,360,245,229493,225414,GHW1792186R0001   ,NCM2111I01013,229492,4266,147.0,135.0,Injection mold,4,1000000,20210910,2021091007,0.004266,1
36,20210910082028,147.0,361,244,229521,225414,GHW1792186R0001   ,NCM2111I01013,229520,4510,147.0,135.0,Injection mold,4,1000000,20210910,2021091008,0.00451,1
37,20210910092030,147.0,366,244,229549,225414,GHW1792186R0001   ,NCM2111I01013,229548,4754,147.0,135.0,Injection mold,4,1000000,20210910,2021091009,0.004754,1
38,20210910102032,147.0,371,244,229577,225414,GHW1792186R0001   ,NCM2111I01013,229576,4998,147.0,135.0,Injection mold,4,1000000,20210910,2021091010,0.004998,1
39,20210910112034,147.0,376,245,229605,225414,GHW1792186R0001   ,NCM2111I01013,229604,5243,147.0,135.0,Injection mold,4,1000000,20210910,2021091011,0.005243,1
40,20210910122036,147.0,379,244,229633,225414,GHW1792186R0001   ,NCM2111I01013,229632,5487,147.0,135.0,Injection mold,4,1000000,20210910,2021091012,0.005487,1
41,20210910132038,147.0,381,244,229661,225414,GHW1792186R0001   ,NCM2111I01013,229660,5731,147.0,135.0,Injection mold,4,1000000,20210910,2021091013,0.005731,1
42,20210910142040,147.0,382,245,229689,225414,GHW1792186R0001   ,NCM2111I01013,229688,5976,147.0,135.0,Injection mold,4,1000000,20210910,2021091014,0.005976,1
43,20210910152042,147.0,383,244,229719,225414,GHW1792186R0001   ,NCM2111I01013,229718,6220,147.0,135.0,Injection mold,4,1000000,20210910,2021091015,0.00622,1
