Unnamed: 0,TFF,CT,TAV,SHOT_COUNT,STATISTICS_ID,MOLD_ID,MOLD_CODE,COUNTER_ID,CDATA_ID,SC,WACT,ACT,TOOLING_TYPE,TOTAL_CAVITIES,max_shots,DATE,HOUR,LIFE_CYCLE,PHASE
0,20201208145948,467.0,410,78,5541155,5534235,T122360,NCM2042I01024,5541084,7245,380.0,380.0,Hard Tool,,1000000,20201208,2020120814,0.007245,1
1,20201208155950,466.0,410,77,5544551,5534235,T122360,NCM2042I01024,5544422,7322,380.0,380.0,Hard Tool,,1000000,20201208,2020120815,0.007322,1
2,20201208165952,467.0,408,77,5548147,5534235,T122360,NCM2042I01024,5548074,7399,380.0,380.0,Hard Tool,,1000000,20201208,2020120816,0.007399,1
3,20201208175954,467.0,402,77,5551476,5534235,T122360,NCM2042I01024,5551405,7476,380.0,380.0,Hard Tool,,1000000,20201208,2020120817,0.007476,1
4,20201208185956,467.0,398,77,5555106,5534235,T122360,NCM2042I01024,5555033,7553,380.0,380.0,Hard Tool,,1000000,20201208,2020120818,0.007553,1
5,20201208195958,467.0,396,77,5561909,5534235,T122360,NCM2042I01024,5561836,7630,380.0,380.0,Hard Tool,,1000000,20201208,2020120819,0.00763,1
6,20201208210001,467.0,393,77,5565828,5534235,T122360,NCM2042I01024,5565755,7707,380.0,380.0,Hard Tool,,1000000,20201208,2020120821,0.007707,1
7,20201208220003,467.0,389,77,5569595,5534235,T122360,NCM2042I01024,5569524,7784,380.0,380.0,Hard Tool,,1000000,20201208,2020120822,0.007784,1
8,20201208230005,467.0,391,77,5572896,5534235,T122360,NCM2042I01024,5572825,7861,380.0,380.0,Hard Tool,,1000000,20201208,2020120823,0.007861,1
9,20201209000007,467.0,389,77,5587335,5534235,T122360,NCM2042I01024,5587264,7938,380.0,380.0,Hard Tool,,1000000,20201209,2020120900,0.007938,1
10,20201209010009,498.0,388,72,5591596,5534235,T122360,NCM2042I01024,5591525,8010,380.0,380.0,Hard Tool,,1000000,20201209,2020120901,0.00801,1
11,20201209020011,498.0,385,72,5595104,5534235,T122360,NCM2042I01024,5595033,8082,380.0,380.0,Hard Tool,,1000000,20201209,2020120902,0.008082,1
12,20201209030013,497.0,385,73,5598454,5534235,T122360,NCM2042I01024,5598241,8155,380.0,380.0,Hard Tool,,1000000,20201209,2020120903,0.008155,1
13,20201209040015,498.0,383,72,5606604,5534235,T122360,NCM2042I01024,5606462,8227,380.0,380.0,Hard Tool,,1000000,20201209,2020120904,0.008227,1
14,20201209050017,497.0,382,72,5609653,5534235,T122360,NCM2042I01024,5609509,8299,380.0,380.0,Hard Tool,,1000000,20201209,2020120905,0.008299,1
15,20201209060019,498.0,381,73,5612639,5534235,T122360,NCM2042I01024,5612498,8372,380.0,380.0,Hard Tool,,1000000,20201209,2020120906,0.008372,1
16,20201209070021,498.0,382,72,5615833,5534235,T122360,NCM2042I01024,5615691,8444,380.0,380.0,Hard Tool,,1000000,20201209,2020120907,0.008444,1
17,20201209080023,498.0,385,72,5619464,5534235,T122360,NCM2042I01024,5619391,8516,380.0,380.0,Hard Tool,,1000000,20201209,2020120908,0.008516,1
18,20201209090025,497.0,389,73,5623293,5534235,T122360,NCM2042I01024,5623078,8589,380.0,380.0,Hard Tool,,1000000,20201209,2020120909,0.008589,1
19,20201209100027,497.0,394,72,5628986,5534235,T122360,NCM2042I01024,5628900,8661,380.0,380.0,Hard Tool,,1000000,20201209,2020120910,0.008661,1
20,20201209110029,497.0,400,73,5631654,5534235,T122360,NCM2042I01024,5631553,8734,380.0,380.0,Hard Tool,,1000000,20201209,2020120911,0.008734,1
21,20201209120031,497.0,403,72,5634763,5534235,T122360,NCM2042I01024,5634618,8806,380.0,380.0,Hard Tool,,1000000,20201209,2020120912,0.008806,1
22,20201209130033,497.0,408,73,5637741,5534235,T122360,NCM2042I01024,5637551,8879,380.0,380.0,Hard Tool,,1000000,20201209,2020120913,0.008879,1
23,20201209140035,497.0,408,72,5641284,5534235,T122360,NCM2042I01024,5641142,8951,380.0,380.0,Hard Tool,,1000000,20201209,2020120914,0.008951,1
24,20201209150037,497.0,410,72,5644936,5534235,T122360,NCM2042I01024,5644865,9023,380.0,380.0,Hard Tool,,1000000,20201209,2020120915,0.009023,1
25,20201209160039,497.0,409,73,5650039,5534235,T122360,NCM2042I01024,5649968,9096,380.0,380.0,Hard Tool,,1000000,20201209,2020120916,0.009096,1
26,20201209170041,497.0,406,72,5660226,5534235,T122360,NCM2042I01024,5660155,9168,380.0,380.0,Hard Tool,,1000000,20201209,2020120917,0.009168,1
27,20201209180043,497.0,404,73,5663758,5534235,T122360,NCM2042I01024,5663616,9241,380.0,380.0,Hard Tool,,1000000,20201209,2020120918,0.009241,1
28,20201209190046,497.0,402,72,5674571,5534235,T122360,NCM2042I01024,5674460,9313,380.0,380.0,Hard Tool,,1000000,20201209,2020120919,0.009313,1
29,20201209200048,497.0,400,73,5684738,5534235,T122360,NCM2042I01024,5684625,9386,380.0,380.0,Hard Tool,,1000000,20201209,2020120920,0.009386,1
30,20201209210050,497.0,398,72,5688222,5534235,T122360,NCM2042I01024,5688081,9458,380.0,380.0,Hard Tool,,1000000,20201209,2020120921,0.009458,1
31,20201209220052,497.0,395,72,5691448,5534235,T122360,NCM2042I01024,5691307,9530,380.0,380.0,Hard Tool,,1000000,20201209,2020120922,0.00953,1
32,20201209230054,497.0,393,73,5694747,5534235,T122360,NCM2042I01024,5694621,9603,380.0,380.0,Hard Tool,,1000000,20201209,2020120923,0.009603,1
33,20201210000056,497.0,392,72,5708706,5534235,T122360,NCM2042I01024,5708635,9675,380.0,380.0,Hard Tool,,1000000,20201210,2020121000,0.009675,1
34,20201210010058,497.0,387,73,5716809,5534235,T122360,NCM2042I01024,5716738,9748,380.0,380.0,Hard Tool,,1000000,20201210,2020121001,0.009748,1
35,20201210020100,497.0,385,72,5731173,5534235,T122360,NCM2042I01024,5731102,9820,380.0,380.0,Hard Tool,,1000000,20201210,2020121002,0.00982,1
36,20201210030102,497.0,386,72,5734394,5534235,T122360,NCM2042I01024,5734319,9892,380.0,380.0,Hard Tool,,1000000,20201210,2020121003,0.009892,1
37,20201210040104,497.0,384,40,5738837,5534235,T122360,NCM2042I01024,5738680,9932,380.0,380.0,Hard Tool,,1000000,20201210,2020121004,0.009932,1
38,20201210050106,497.0,379,73,5741969,5534235,T122360,NCM2042I01024,5741898,10005,380.0,380.0,Hard Tool,,1000000,20201210,2020121005,0.010005,1
39,20201210060108,497.0,384,72,5745646,5534235,T122360,NCM2042I01024,5745512,10077,380.0,380.0,Hard Tool,,1000000,20201210,2020121006,0.010077,1
40,20201210070110,497.0,380,72,5748822,5534235,T122360,NCM2042I01024,5748705,10149,380.0,380.0,Hard Tool,,1000000,20201210,2020121007,0.010149,1
41,20201210080112,497.0,385,73,5752237,5534235,T122360,NCM2042I01024,5752095,10222,380.0,380.0,Hard Tool,,1000000,20201210,2020121008,0.010222,1
42,20201210090114,497.0,391,72,5757014,5534235,T122360,NCM2042I01024,5756943,10294,380.0,380.0,Hard Tool,,1000000,20201210,2020121009,0.010294,1
43,20201210100116,497.0,395,73,5760950,5534235,T122360,NCM2042I01024,5760879,10367,380.0,380.0,Hard Tool,,1000000,20201210,2020121010,0.010367,1
44,20201210110119,497.0,401,72,5765294,5534235,T122360,NCM2042I01024,5765221,10439,380.0,380.0,Hard Tool,,1000000,20201210,2020121011,0.010439,1
45,20201210120121,497.0,408,73,5770695,5534235,T122360,NCM2042I01024,5770622,10512,380.0,380.0,Hard Tool,,1000000,20201210,2020121012,0.010512,1
46,20201210130123,497.0,409,72,5773839,5534235,T122360,NCM2042I01024,5773768,10584,380.0,380.0,Hard Tool,,1000000,20201210,2020121013,0.010584,1
47,20201210140125,497.0,408,72,5776754,5534235,T122360,NCM2042I01024,5776683,10656,380.0,380.0,Hard Tool,,1000000,20201210,2020121014,0.010656,1
48,20201210150127,497.0,397,73,5779678,5534235,T122360,NCM2042I01024,5779607,10729,380.0,380.0,Hard Tool,,1000000,20201210,2020121015,0.010729,1
49,20201210160130,497.0,393,72,5782470,5534235,T122360,NCM2042I01024,5782399,10801,380.0,380.0,Hard Tool,,1000000,20201210,2020121016,0.010801,1
50,20201210170132,497.0,389,73,5787378,5534235,T122360,NCM2042I01024,5787307,10874,380.0,380.0,Hard Tool,,1000000,20201210,2020121017,0.010874,1
51,20201210180134,497.0,387,72,5790009,5534235,T122360,NCM2042I01024,5789938,10946,380.0,380.0,Hard Tool,,1000000,20201210,2020121018,0.010946,1
52,20201210190136,497.0,387,72,5794181,5534235,T122360,NCM2042I01024,5794110,11018,380.0,380.0,Hard Tool,,1000000,20201210,2020121019,0.011018,1
53,20201210200138,498.0,387,73,5797950,5534235,T122360,NCM2042I01024,5797879,11091,380.0,380.0,Hard Tool,,1000000,20201210,2020121020,0.011091,1
54,20201210210140,498.0,384,61,5804058,5534235,T122360,NCM2042I01024,5803987,11152,380.0,380.0,Hard Tool,,1000000,20201210,2020121021,0.011152,1
55,20201210220142,498.0,383,72,5807823,5534235,T122360,NCM2042I01024,5807752,11224,380.0,380.0,Hard Tool,,1000000,20201210,2020121022,0.011224,1
56,20201210230144,498.0,382,73,5813376,5534235,T122360,NCM2042I01024,5813305,11297,380.0,380.0,Hard Tool,,1000000,20201210,2020121023,0.011297,1
57,20201211000146,498.0,379,72,5833276,5534235,T122360,NCM2042I01024,5833205,11369,380.0,380.0,Hard Tool,,1000000,20201211,2020121100,0.011369,1
58,20201211010148,498.0,378,72,5836075,5534235,T122360,NCM2042I01024,5836004,11441,380.0,380.0,Hard Tool,,1000000,20201211,2020121101,0.011441,1
59,20201211020150,498.0,375,73,5839506,5534235,T122360,NCM2042I01024,5839435,11514,380.0,380.0,Hard Tool,,1000000,20201211,2020121102,0.011514,1
60,20201211030152,498.0,377,72,5843558,5534235,T122360,NCM2042I01024,5843483,11586,380.0,380.0,Hard Tool,,1000000,20201211,2020121103,0.011586,1
61,20201211040154,498.0,374,72,5846793,5534235,T122360,NCM2042I01024,5846688,11658,380.0,380.0,Hard Tool,,1000000,20201211,2020121104,0.011658,1
62,20201211050156,498.0,374,73,5849650,5534235,T122360,NCM2042I01024,5849506,11731,380.0,380.0,Hard Tool,,1000000,20201211,2020121105,0.011731,1
63,20201211060158,498.0,370,72,5852488,5534235,T122360,NCM2042I01024,5852348,11803,380.0,380.0,Hard Tool,,1000000,20201211,2020121106,0.011803,1
64,20201211070200,498.0,373,72,5856117,5534235,T122360,NCM2042I01024,5855973,11875,380.0,380.0,Hard Tool,,1000000,20201211,2020121107,0.011875,1
65,20201211080202,498.0,378,73,5859921,5534235,T122360,NCM2042I01024,5859795,11948,380.0,380.0,Hard Tool,,1000000,20201211,2020121108,0.011948,1
66,20201211090204,497.0,385,72,5863490,5534235,T122360,NCM2042I01024,5863419,12020,380.0,380.0,Hard Tool,,1000000,20201211,2020121109,0.01202,1
67,20201211100206,497.0,392,72,5866201,5534235,T122360,NCM2042I01024,5866066,12092,380.0,380.0,Hard Tool,,1000000,20201211,2020121110,0.012092,1
68,20201211110208,497.0,398,73,5869863,5534235,T122360,NCM2042I01024,5869723,12165,380.0,380.0,Hard Tool,,1000000,20201211,2020121111,0.012165,1
69,20201211120210,497.0,401,72,5872568,5534235,T122360,NCM2042I01024,5872495,12237,380.0,380.0,Hard Tool,,1000000,20201211,2020121112,0.012237,1
70,20201211130212,497.0,403,73,5878970,5534235,T122360,NCM2042I01024,5878899,12310,380.0,380.0,Hard Tool,,1000000,20201211,2020121113,0.01231,1
71,20201211140214,497.0,401,72,5885033,5534235,T122360,NCM2042I01024,5884962,12382,380.0,380.0,Hard Tool,,1000000,20201211,2020121114,0.012382,1
72,20201211150216,497.0,400,73,5888775,5534235,T122360,NCM2042I01024,5888631,12455,380.0,380.0,Hard Tool,,1000000,20201211,2020121115,0.012455,1
73,20201211160218,497.0,402,72,5899270,5534235,T122360,NCM2042I01024,5899124,12527,380.0,380.0,Hard Tool,,1000000,20201211,2020121116,0.012527,1
74,20201211170220,497.0,399,72,5908151,5534235,T122360,NCM2042I01024,5908048,12599,380.0,380.0,Hard Tool,,1000000,20201211,2020121117,0.012599,1
75,20201211180222,497.0,398,73,5911143,5534235,T122360,NCM2042I01024,5910997,12672,380.0,380.0,Hard Tool,,1000000,20201211,2020121118,0.012672,1
76,20201211190224,497.0,395,72,5913592,5534235,T122360,NCM2042I01024,5913515,12744,380.0,380.0,Hard Tool,,1000000,20201211,2020121119,0.012744,1
77,20201211200226,498.0,394,73,5917030,5534235,T122360,NCM2042I01024,5916957,12817,380.0,380.0,Hard Tool,,1000000,20201211,2020121120,0.012817,1
78,20201211210228,498.0,394,72,5919821,5534235,T122360,NCM2042I01024,5919742,12889,380.0,380.0,Hard Tool,,1000000,20201211,2020121121,0.012889,1
79,20201211220230,498.0,392,72,5922789,5534235,T122360,NCM2042I01024,5922716,12961,380.0,380.0,Hard Tool,,1000000,20201211,2020121122,0.012961,1
80,20201211230232,498.0,391,72,5926107,5534235,T122360,NCM2042I01024,5925963,13033,380.0,380.0,Hard Tool,,1000000,20201211,2020121123,0.013033,1
81,20201212000234,498.0,391,73,5939969,5534235,T122360,NCM2042I01024,5939827,13106,380.0,380.0,Hard Tool,,1000000,20201212,2020121200,0.013106,1
82,20201212010236,498.0,388,72,5945780,5534235,T122360,NCM2042I01024,5945669,13178,380.0,380.0,Hard Tool,,1000000,20201212,2020121201,0.013178,1
83,20201212020238,497.0,386,72,5955284,5534235,T122360,NCM2042I01024,5955142,13250,380.0,380.0,Hard Tool,,1000000,20201212,2020121202,0.01325,1
84,20201212030240,498.0,385,73,5957796,5534235,T122360,NCM2042I01024,5957725,13323,380.0,380.0,Hard Tool,,1000000,20201212,2020121203,0.013323,1
85,20201212040242,497.0,385,72,5960746,5534235,T122360,NCM2042I01024,5960604,13395,380.0,380.0,Hard Tool,,1000000,20201212,2020121204,0.013395,1
86,20201212050244,498.0,385,73,5968496,5534235,T122360,NCM2042I01024,5968354,13468,380.0,380.0,Hard Tool,,1000000,20201212,2020121205,0.013468,1
87,20201212060246,498.0,384,72,5971992,5534235,T122360,NCM2042I01024,5971853,13540,380.0,380.0,Hard Tool,,1000000,20201212,2020121206,0.01354,1
88,20201212070249,498.0,380,72,5975497,5534235,T122360,NCM2042I01024,5975355,13612,380.0,380.0,Hard Tool,,1000000,20201212,2020121207,0.013612,1
89,20201212080251,497.0,379,73,5978721,5534235,T122360,NCM2042I01024,5978579,13685,380.0,380.0,Hard Tool,,1000000,20201212,2020121208,0.013685,1
90,20201212090253,497.0,380,72,5988717,5534235,T122360,NCM2042I01024,5988571,13757,380.0,380.0,Hard Tool,,1000000,20201212,2020121209,0.013757,1
91,20201212100255,498.0,389,72,5997029,5534235,T122360,NCM2042I01024,5996817,13829,380.0,380.0,Hard Tool,,1000000,20201212,2020121210,0.013829,1
92,20201212110257,497.0,398,73,5999420,5534235,T122360,NCM2042I01024,5999306,13902,380.0,380.0,Hard Tool,,1000000,20201212,2020121211,0.013902,1
93,20201212120259,497.0,401,72,6003348,5534235,T122360,NCM2042I01024,6003242,13974,380.0,380.0,Hard Tool,,1000000,20201212,2020121212,0.013974,1
94,20201212130301,497.0,412,34,6006457,5534235,T122360,NCM2042I01024,6006315,14008,380.0,380.0,Hard Tool,,1000000,20201212,2020121213,0.014008,1
95,20201212140303,497.0,407,70,6010375,5534235,T122360,NCM2042I01024,6010298,14078,380.0,380.0,Hard Tool,,1000000,20201212,2020121214,0.014078,1
96,20201212150305,497.0,410,73,6013661,5534235,T122360,NCM2042I01024,6013515,14151,380.0,380.0,Hard Tool,,1000000,20201212,2020121215,0.014151,1
97,20201212160307,497.0,400,72,6017570,5534235,T122360,NCM2042I01024,6017425,14223,380.0,380.0,Hard Tool,,1000000,20201212,2020121216,0.014223,1
98,20201212170309,497.0,395,73,6020628,5534235,T122360,NCM2042I01024,6020484,14296,380.0,380.0,Hard Tool,,1000000,20201212,2020121217,0.014296,1
99,20201212180311,498.0,387,72,6023544,5534235,T122360,NCM2042I01024,6023402,14368,380.0,380.0,Hard Tool,,1000000,20201212,2020121218,0.014368,1
100,20201212190313,498.0,382,72,6031261,5534235,T122360,NCM2042I01024,6031117,14440,380.0,380.0,Hard Tool,,1000000,20201212,2020121219,0.01444,1
101,20201212200315,498.0,378,73,6034559,5534235,T122360,NCM2042I01024,6034415,14513,380.0,380.0,Hard Tool,,1000000,20201212,2020121220,0.014513,1
102,20201212210317,498.0,378,72,6037648,5534235,T122360,NCM2042I01024,6037507,14585,380.0,380.0,Hard Tool,,1000000,20201212,2020121221,0.014585,1
103,20201212220319,498.0,376,72,6041466,5534235,T122360,NCM2042I01024,6041322,14657,380.0,380.0,Hard Tool,,1000000,20201212,2020121222,0.014657,1
104,20201212230321,498.0,377,72,6054287,5534235,T122360,NCM2042I01024,6054035,14729,380.0,380.0,Hard Tool,,1000000,20201212,2020121223,0.014729,1
105,20201213000323,498.0,374,73,6058261,5534235,T122360,NCM2042I01024,6058190,14802,380.0,380.0,Hard Tool,,1000000,20201213,2020121300,0.014802,1
106,20201213010325,498.0,370,72,6062220,5534235,T122360,NCM2042I01024,6062149,14874,380.0,380.0,Hard Tool,,1000000,20201213,2020121301,0.014874,1
107,20201213020327,498.0,370,72,6065236,5534235,T122360,NCM2042I01024,6065093,14946,380.0,380.0,Hard Tool,,1000000,20201213,2020121302,0.014946,1
108,20201213030330,498.0,375,73,6068391,5534235,T122360,NCM2042I01024,6068312,15019,380.0,380.0,Hard Tool,,1000000,20201213,2020121303,0.015019,1
109,20201213040332,498.0,371,72,6072993,5534235,T122360,NCM2042I01024,6072922,15091,380.0,380.0,Hard Tool,,1000000,20201213,2020121304,0.015091,1
110,20201213050334,498.0,372,72,6077515,5534235,T122360,NCM2042I01024,6077444,15163,380.0,380.0,Hard Tool,,1000000,20201213,2020121305,0.015163,1
111,20201213060336,498.0,372,72,6080316,5534235,T122360,NCM2042I01024,6080245,15235,380.0,380.0,Hard Tool,,1000000,20201213,2020121306,0.015235,1
112,20201213070338,498.0,371,73,6086614,5534235,T122360,NCM2042I01024,6086543,15308,380.0,380.0,Hard Tool,,1000000,20201213,2020121307,0.015308,1
113,20201213080340,497.0,374,72,6089083,5534235,T122360,NCM2042I01024,6089012,15380,380.0,380.0,Hard Tool,,1000000,20201213,2020121308,0.01538,1
114,20201213090342,497.0,381,73,6092089,5534235,T122360,NCM2042I01024,6092018,15453,380.0,380.0,Hard Tool,,1000000,20201213,2020121309,0.015453,1
115,20201213100344,498.0,389,72,6097441,5534235,T122360,NCM2042I01024,6097370,15525,380.0,380.0,Hard Tool,,1000000,20201213,2020121310,0.015525,1
116,20201213110346,497.0,392,72,6106995,5534235,T122360,NCM2042I01024,6106924,15597,380.0,380.0,Hard Tool,,1000000,20201213,2020121311,0.015597,1
117,20201213120348,497.0,396,73,6122009,5534235,T122360,NCM2042I01024,6121938,15670,380.0,380.0,Hard Tool,,1000000,20201213,2020121312,0.01567,1
118,20201213130350,496.0,400,72,6129312,5534235,T122360,NCM2042I01024,6129241,15742,380.0,380.0,Hard Tool,,1000000,20201213,2020121313,0.015742,1
119,20201213140352,496.0,401,73,6131973,5534235,T122360,NCM2042I01024,6131902,15815,380.0,380.0,Hard Tool,,1000000,20201213,2020121314,0.015815,1
120,20201213150354,497.0,406,72,6135529,5534235,T122360,NCM2042I01024,6135458,15887,380.0,380.0,Hard Tool,,1000000,20201213,2020121315,0.015887,1
121,20201213160356,496.0,406,73,6138222,5534235,T122360,NCM2042I01024,6138151,15960,380.0,380.0,Hard Tool,,1000000,20201213,2020121316,0.01596,1
